"specimenID","assay","platform","dnaBatch","sequencingBatch","libraryPrep","libraryPreparationMethod","readLength","runType","totalReads","numberCells","260/280","260/230","GQN"
71745,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71746,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71747,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71748,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71749,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71750,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71751,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71752,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71753,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71754,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71755,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71756,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71757,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71758,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71759,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71760,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71761,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71762,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71763,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71764,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71765,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71766,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71767,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71768,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71769,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71770,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71771,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71772,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71773,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71774,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71775,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71776,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71777,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71778,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71779,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71780,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71781,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71782,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71783,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71784,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71785,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71786,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71787,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71789,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71790,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71791,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71792,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71793,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71794,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
